image_id,gt_vertebrae,selected_prediction_boxes,old_IDR_correct,old_IDR_false_accepts
351,6,6,6,0
352,10,10,0,0
353,9,9,9,1
354,9,9,9,0
355,7,7,7,0
356,9,9,9,0
357,9,9,8,7
358,6,6,0,0
359,7,7,0,0
360,9,9,1,1
361,9,9,9,0
362,10,10,10,9
363,12,12,12,11
364,8,8,8,0
365,10,10,10,2
366,8,8,8,0
367,8,8,8,6
368,9,9,9,0
369,10,10,10,2
370,8,8,8,7
371,8,8,8,0
372,7,7,7,0
373,8,8,8,1
374,8,8,0,0
375,9,9,8,7
376,9,9,9,0
377,9,9,8,8
378,8,8,8,1
379,9,9,0,0
380,10,10,10,0
381,8,8,8,0
382,9,9,9,5
383,13,13,0,0
384,7,7,7,0
385,8,8,8,0
386,8,8,6,0
387,7,7,7,0
388,8,8,8,1
389,10,10,1,0
390,9,9,9,0
391,9,9,9,0
392,9,9,9,0
393,10,10,10,0
394,9,9,1,0
395,7,7,7,0
396,8,8,0,0
397,8,8,8,6
398,9,9,9,1
399,8,8,8,0
400,8,8,8,0
401,10,10,9,8
402,8,8,0,0
403,6,6,6,1
404,6,6,6,1
405,7,7,7,0
406,9,9,9,0
407,10,10,2,2
408,7,7,7,0
409,7,7,7,1
410,8,8,8,1
411,8,8,6,5
412,7,7,7,6
413,7,7,7,1
414,9,9,9,2
415,10,10,1,0
416,7,7,7,1
417,7,7,7,0
418,8,8,8,0
419,6,6,6,0
420,10,10,1,1
421,7,7,7,0
422,8,8,8,2
423,9,9,1,0
424,8,8,8,0
425,8,8,8,0
426,8,8,8,7
427,7,7,6,1
428,8,8,8,0
430,9,9,0,0
431,7,7,7,1
432,9,9,1,1
433,11,11,3,3
434,6,6,0,0
435,9,9,9,0
436,8,8,8,0
437,8,8,8,1
438,7,7,6,3
439,7,7,0,0
440,8,8,8,5
441,7,7,0,0
442,7,7,7,0
443,7,7,7,6
444,11,11,11,0
445,11,11,1,1
446,9,9,9,0
447,9,9,9,0
449,10,10,10,2
450,8,8,0,0
451,10,10,10,1
452,10,10,0,0
453,8,8,8,0
454,9,9,9,4
455,7,7,0,0
456,7,7,0,0
457,10,10,10,2
458,9,9,1,0
459,9,9,9,5
460,10,10,10,3
461,6,6,6,0
462,12,12,0,0
463,10,10,3,0
464,8,8,8,1
465,6,6,0,0
466,9,9,9,1
DR_100_s3_e15,13,13,1,1
DR_102_s1_e12,12,12,5,5
DR_108_s3_e12,10,10,10,0
DR_111_s4_e14,11,11,6,1
DR_116_s4_e14,11,11,8,1
DR_117_s1_e12,12,12,8,6
DR_124_s4_e13,10,10,10,1
DR_129_s3_e13,11,11,3,1
DR_138_s4_e14,11,11,1,1
DR_141_s3_e12,10,10,4,4
DR_148_s3_e14,12,12,11,11
DR_149_s2_e14,13,13,8,2
DR_158_s3_e13,11,11,9,9
DR_162_s2_e15,14,14,1,0
DR_170_s2_e15,14,14,7,0
DR_171_s1_e13,13,13,10,5
DR_174_s4_e13,10,10,9,9
DR_175_s4_e13,10,10,10,0
DR_177_s3_e14,12,12,11,11
DR_17_s3_e13,11,11,9,4
DR_194_s4_e14,11,11,10,2
DR_19_s3_e15,13,13,12,12
DR_1_s3_e12,10,10,6,6
DR_203_s4_e13,10,10,4,1
DR_204_s1_e12,12,12,5,5
DR_214_s1_e13,13,13,12,7
DR_224_s3_e15,13,13,12,12
DR_227_s3_e15,13,13,8,6
DR_228_s1_e12,12,12,4,1
DR_23_s1_e12,12,12,10,10
DR_241_s2_e15,14,14,14,1
DR_257_s2_e13,12,12,5,0
DR_261_s3_e14,12,12,11,11
DR_270_s2_e15,14,14,13,13
DR_277_s4_e14,11,11,5,0
DR_281_s2_e15,14,14,1,1
DR_282_s4_e13,10,10,3,1
DR_288_s2_e12,11,11,5,0
DR_290_s3_e14,12,12,0,0
DR_292_s4_e13,10,10,1,1
DR_297_s2_e14,13,13,12,11
DR_298_s3_e13,11,11,0,0
DR_29_s4_e14,11,11,1,0
DR_303_s4_e13,10,10,2,2
DR_304_s1_e13,13,13,1,1
DR_307_s2_e14,13,13,12,7
DR_317_s2_e12,11,11,2,1
DR_321_s3_e15,13,13,13,0
DR_334_s3_e12,10,10,9,9
DR_340_s1_e13,13,13,1,0
DR_341_s3_e12,10,10,8,8
DR_346_s3_e13,11,11,0,0
DR_355_s4_e14,11,11,11,0
DR_366_s2_e15,14,14,3,2
DR_36_s2_e13,12,12,10,10
DR_370_s3_e15,13,13,12,1
DR_376_s1_e13,13,13,1,1
DR_37_s1_e13,13,13,3,0
DR_380_s2_e14,13,13,12,2
DR_383_s4_e14,11,11,4,0
DR_385_s1_e12,12,12,9,9
DR_390_s2_e14,13,13,12,10
DR_391_s3_e13,11,11,6,0
DR_393_s1_e13,13,13,1,1
DR_395_s3_e12,10,10,10,1
DR_3_s1_e13,13,13,1,1
DR_407_s2_e15,14,14,0,0
DR_409_s1_e12,12,12,9,9
DR_420_s1_e12,12,12,11,1
DR_426_s3_e12,10,10,0,0
DR_428_s2_e12,11,11,1,0
DR_429_s4_e13,10,10,10,1
DR_436_s2_e14,13,13,13,0
DR_437_s4_e14,11,11,11,0
DR_43_s3_e12,10,10,3,3
DR_444_s2_e14,13,13,8,8
DR_449_s3_e14,12,12,10,10
DR_457_s3_e15,13,13,12,12
DR_464_s3_e14,12,12,1,0
DR_473_s3_e14,12,12,6,5
DR_477_s2_e15,14,14,12,12
DR_482_s3_e15,13,13,6,1
DR_487_s4_e13,10,10,3,0
DR_48_s2_e15,14,14,1,1
DR_494_s1_e12,12,12,4,3
DR_495_s3_e15,13,13,1,0
DR_504_s2_e12,11,11,1,0
DR_508_s4_e13,10,10,10,0
DR_52_s3_e15,13,13,6,1
DR_69_s1_e12,12,12,1,0
DR_76_s4_e13,10,10,10,0
DR_82_s3_e14,12,12,7,7
DR_85_s1_e13,13,13,12,11
DR_88_s1_e13,13,13,1,0
DR_91_s3_e12,10,10,6,2
DR_97_s3_e13,11,11,10,10
DR_9_s1_e13,13,13,2,1
gq346,6,6,6,0
gq347,6,6,6,0
gq348,6,6,0,0
gq349,6,6,0,0
gq350,6,6,6,0
gq351,6,6,0,0
gq352,6,6,0,0
gq353,6,6,6,2
gq354,6,6,6,0
gq355,6,6,6,0
gq356,6,6,6,0
gq357,6,6,6,0
gq358,6,6,0,0
gq359,6,6,6,0
gq360,6,6,6,0
gq361,6,6,6,0
gq362,6,6,6,0
gq363,6,6,0,0
gq364,6,6,5,4
gq365,6,6,6,0
gq366,6,6,0,0
gs30,6,6,6,0
gs31,6,6,6,0
gs32,6,6,6,0
gs33,6,6,6,0
gs34,6,6,6,0
gs35,6,6,3,1
gs36,6,6,6,0
gs37,6,6,6,0
gs38,6,6,6,0
gs39,6,6,5,0
gs40,6,6,0,0
gs41,6,6,6,1
gs42,6,6,6,0
gs43,6,6,0,0
gs44,6,6,3,0
gs45,6,6,0,0
gs46,6,6,6,0
gs47,6,6,6,0
gs48,6,6,0,0
gs49,6,6,0,0
gs50,6,6,6,0
